nationalInsuranceNumber,lastName,dateOfBirth,nationalAsylumSeekerServiceNumber,group
AB302480D,NBCMHZAVKG,1990-01-01,,RichcBulk
AB869963D,MPPQBVMSJY,1990-01-01,,RichcBulk
AB194088D,ECKVRQIRXX,1990-01-01,,RichcBulk
AB812225D,PHKQMONNTY,1990-01-01,,RichcBulk
AB292471D,NCYDVTUEEL,1990-01-01,,RichcBulk
AB255671D,UAFJKQEYFU,1990-01-01,,RichcBulk
AB201868D,GIKGKKKRRA,1990-01-01,,RichcBulk
AB780114D,QRAWHEZJXM,1990-01-01,,RichcBulk
AB353784D,BLEPDFAOWE,1990-01-01,,RichcBulk
AB768132D,GRWGHLLMZH,1990-01-01,,RichcBulk
AB920331D,MISKAFHDXN,1990-01-01,,RichcBulk
AB384105D,SSJNEMECKG,1990-01-01,,RichcBulk
AB545526D,JDZVDTMOQW,1990-01-01,,RichcBulk
AB405562D,TPGVISFMKD,1990-01-01,,RichcBulk
AB797280D,UBHOORHSMK,1990-01-01,,RichcBulk
AB526167D,ASVRKTJUQZ,1990-01-01,,RichcBulk
AB488823D,HIASHVWVJQ,1990-01-01,,RichcBulk
AB272584D,WCCBXMETDY,1990-01-01,,RichcBulk
AB327307D,WBYVPXASNQ,1990-01-01,,RichcBulk
AB544775D,FGXZIYQQIZ,1990-01-01,,RichcBulk
AB793642D,DTEHHKBYFQ,1990-01-01,,RichcBulk
AB627393D,JRJSXHCMCD,1990-01-01,,RichcBulk
AB867138D,CYASRMQQIK,1990-01-01,,RichcBulk
AB288215D,OSWRNFJAPV,1990-01-01,,RichcBulk
AB755679D,ILQXDOMEOQ,1990-01-01,,RichcBulk
AB927558D,PMPDNGGGNO,1990-01-01,,RichcBulk
AB913778D,PARWQMVNVG,1990-01-01,,RichcBulk
AB511976D,MTWMBBTNYC,1990-01-01,,RichcBulk
AB669992D,TVDIOBOBQU,1990-01-01,,RichcBulk
AB211063D,LTABTNUUEI,1990-01-01,,RichcBulk
AB151344D,GMOHNFBRUO,1990-01-01,,RichcBulk
AB215356D,PPBPYFRPAK,1990-01-01,,RichcBulk
AB485832D,VPYENPUBXC,1990-01-01,,RichcBulk
AB808310D,QDDFIUWRAK,1990-01-01,,RichcBulk
AB244743D,WOQPHANELF,1990-01-01,,RichcBulk
AB791450D,JAWVZNQLED,1990-01-01,,RichcBulk
AB698538D,QPHPOGZCCB,1990-01-01,,RichcBulk
AB425717D,WSHOOCLCMP,1990-01-01,,RichcBulk
AB471825D,EXNZCCMZDM,1990-01-01,,RichcBulk
AB578956D,RVRVBAHXGK,1990-01-01,,RichcBulk
AB233565D,GUKCFWYRWM,1990-01-01,,RichcBulk
AB392309D,IPGNCGPXKX,1990-01-01,,RichcBulk
AB367015D,CFRJONEQVC,1990-01-01,,RichcBulk
