Parent National Insurance Number,Parent asylum seeker reference number,Parent Date of Birth,Parent Last Name
AB123456C,,31/12/1990,SIMPSON
AB123456D,,31/12/1990,smith
AB194088D,,01/01/1990,ECKVRQIRXX
AB812225D,,01/01/1990,PHKQMONNTY
AB292471D,,01/01/1990,NCYDVTUEEL
AB255671D,,01/01/1990,UAFJKQEYFU
AB201868D,,01/01/1990,GIKGKKKRRA
AB780114D,,01/01/1990,QRAWHEZJXM
AB353784D,,01/01/1990,BLEPDFAOWE
AB768132D,,01/01/1990,GRWGHLLMZH
AB920331D,,01/01/1990,MISKAFHDXN
AB384105D,,01/01/1990,SSJNEMECKG
AB545526D,,01/01/1990,JDZVDTMOQW
AB405562D,,01/01/1990,TPGVISFMKD
AB797280D,,01/01/1990,UBHOORHSMK
AB526167D,,01/01/1990,ASVRKTJUQZ
AB488823D,,01/01/1990,HIASHVWVJQ
AB272584D,,01/01/1990,WCCBXMETDY
AB327307D,,01/01/1990,WBYVPXASNQ
